comments_before_basetime,comments_24_basetime,comments_48_24,comments_publ_24,Diff_52_53,links_before_basetime,links_24_basetime,links_48_24,links_publ_24,diff_8_7,Target
55,4,5,47,-1,0,0,0,0,0,0
55,4,5,47,-1,0,0,0,0,0,0
36,36,0,36,36,0,0,0,0,0,2
36,36,0,36,36,0,0,0,0,0,632
81,45,36,56,9,0,0,0,0,0,0
81,45,36,56,9,0,0,0,0,0,1
89,8,45,56,-37,0,0,0,0,0,1
89,8,45,56,-37,0,0,0,0,0,0
39,39,0,39,39,2,2,0,2,2,0
39,39,0,39,39,2,2,0,2,2,0
15,15,0,15,15,0,0,0,0,0,0
43,4,39,42,-35,2,0,2,2,-2,0
43,4,39,42,-35,2,0,2,2,-2,0
22,7,15,22,-8,0,0,0,0,0,12
43,0,4,42,-4,2,0,0,2,0,0
43,0,4,42,-4,2,0,0,2,0,0
22,0,7,22,-7,0,0,0,0,0,0
120,120,0,120,120,1,1,0,1,1,0
132,12,120,123,-108,1,0,1,1,-1,0
99,99,0,99,99,2,2,0,2,2,0
132,0,12,123,-12,1,0,0,1,0,0
105,6,99,103,-93,2,0,2,2,-2,0
109,4,6,103,-2,2,0,0,2,0,3
21,21,0,21,21,0,0,0,0,0,0
21,0,21,21,-21,0,0,0,0,0,0
42,42,0,42,42,4,4,0,4,4,0
21,0,0,21,0,0,0,0,0,0,0
42,42,0,42,42,4,4,0,4,4,7
48,6,42,43,-36,4,0,4,4,-4,0
48,6,42,43,-36,4,0,4,4,-4,0
50,2,6,43,-4,4,0,0,4,0,6
50,2,6,43,-4,4,0,0,4,0,0
9,9,0,9,9,1,1,0,1,1,0
9,9,0,9,9,1,1,0,1,1,0
14,5,9,13,-4,2,1,1,2,0,0
14,5,9,13,-4,2,1,1,2,0,0
18,4,5,13,-1,2,0,1,2,-1,0
18,4,5,13,-1,2,0,1,2,-1,0
132,132,0,132,132,6,6,0,6,6,0
133,1,132,132,-131,6,0,6,6,-6,128
1,1,0,1,1,0,0,0,0,0,0
133,0,1,132,-1,7,1,0,6,1,0
1,1,0,1,1,0,0,0,0,0,0
75,74,1,75,73,2,2,0,2,2,0
75,74,1,75,73,2,2,0,2,2,0
95,20,74,75,-54,3,1,2,2,-1,4
95,20,74,75,-54,3,1,2,2,-1,2
100,5,20,75,-15,3,0,1,2,-1,0
100,5,20,75,-15,3,0,1,2,-1,0
40,40,0,40,40,0,0,0,0,0,0
40,40,0,40,40,0,0,0,0,0,0
29,29,0,29,29,2,2,0,2,2,0
41,1,40,40,-39,0,0,0,0,0,4
41,1,40,40,-39,0,0,0,0,0,0
37,8,29,30,-21,2,0,2,2,-2,0
41,0,1,40,-1,0,0,0,0,0,0
41,0,1,40,-1,0,0,0,0,0,5
39,2,8,30,-6,2,0,0,2,0,0
1,1,0,1,1,0,0,0,0,0,0
160,160,0,160,160,2,2,0,2,2,0
160,160,0,160,160,2,2,0,2,2,0
1,0,1,1,-1,0,0,0,0,0,14
160,0,160,160,-160,3,1,2,2,-1,0
160,0,160,160,-160,3,1,2,2,-1,0
3,2,0,1,2,0,0,0,0,0,0
161,1,0,160,1,3,0,1,2,-1,0
161,1,0,160,1,3,0,1,2,-1,0
10,10,0,10,10,1,1,0,1,1,0
10,10,0,10,10,1,1,0,1,1,0
11,1,10,11,-9,1,0,1,1,-1,0
11,1,10,11,-9,1,0,1,1,-1,2
11,0,1,11,-1,1,0,0,1,0,0
11,0,1,11,-1,1,0,0,1,0,0
1,1,0,1,1,1,1,0,1,1,0
1,1,0,1,1,1,1,0,1,1,5
1,0,1,1,-1,1,0,1,1,-1,5
1,0,1,1,-1,1,0,1,1,-1,0
1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
19,19,0,19,19,3,3,0,3,3,0
42,23,19,35,4,6,3,3,6,0,0
50,8,23,35,-15,8,2,3,6,-1,0
116,116,0,116,116,5,5,0,5,5,0
116,116,0,116,116,5,5,0,5,5,0
120,4,116,117,-112,5,0,5,5,-5,3
120,4,116,117,-112,5,0,5,5,-5,0
124,4,4,117,0,5,0,0,5,0,
30,30,0,30,30,1,1,0,1,1,
124,4,4,117,0,5,0,0,5,0,
30,30,0,30,30,1,1,0,1,1,
33,3,30,32,-27,3,2,1,3,1,
33,3,30,32,-27,3,2,1,3,1,
75,75,0,75,75,0,0,0,0,0,
75,75,0,75,75,0,0,0,0,0,
37,4,3,32,1,3,0,2,3,-2,
75,75,0,75,75,0,0,0,0,0,
37,4,3,32,1,3,0,2,3,-2,
6,6,0,6,6,0,0,0,0,0,
122,47,75,78,-28,0,0,0,0,0,
122,47,75,78,-28,0,0,0,0,0,
6,6,0,6,6,0,0,0,0,0,
37,37,0,37,37,2,2,0,2,2,
37,37,0,37,37,2,2,0,2,2,
37,37,0,37,37,2,2,0,2,2,
122,47,75,78,-28,0,0,0,0,0,
10,4,6,9,-2,0,0,0,0,0,
123,1,47,78,-46,0,0,0,0,0,
123,1,47,78,-46,0,0,0,0,0,
10,4,6,9,-2,0,0,0,0,0,
115,78,37,93,41,6,4,2,6,2,
115,78,37,93,41,6,4,2,6,2,
115,78,37,93,41,6,4,2,6,2,
123,1,47,78,-46,0,0,0,0,0,
10,0,4,9,-4,0,0,0,0,0,
10,0,4,9,-4,0,0,0,0,0,
124,9,78,93,-69,6,0,4,6,-4,
124,9,78,93,-69,6,0,4,6,-4,
124,9,78,93,-69,6,0,4,6,-4,
12,12,0,12,12,0,0,0,0,0,
12,12,0,12,12,0,0,0,0,0,
13,1,12,12,-11,0,0,0,0,0,
13,1,12,12,-11,0,0,0,0,0,
3,3,0,3,3,0,0,0,0,0,
14,1,1,12,0,0,0,0,0,0,
14,1,1,12,0,0,0,0,0,0,
3,3,0,3,3,0,0,0,0,0,
3,3,0,3,3,0,0,0,0,0,
6,3,3,5,0,0,0,0,0,0,
6,3,3,5,0,0,0,0,0,0,
6,3,3,5,0,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
7,1,3,5,-2,0,0,0,0,0,
7,1,3,5,-2,0,0,0,0,0,
7,1,3,5,-2,0,0,0,0,0,
2,0,2,2,-2,0,0,0,0,0,
2,0,0,2,0,0,0,0,0,0,
135,135,0,135,135,3,3,0,3,3,
135,135,0,135,135,3,3,0,3,3,
135,135,0,135,135,3,3,0,3,3,
142,7,135,138,-128,4,1,3,4,-2,
142,7,135,138,-128,4,1,3,4,-2,
142,7,135,138,-128,4,1,3,4,-2,
146,4,7,138,-3,4,0,1,4,-1,
146,4,7,138,-3,4,0,1,4,-1,
146,4,7,138,-3,4,0,1,4,-1,
4,4,0,4,4,0,0,0,0,0,
4,4,0,4,4,0,0,0,0,0,
7,3,4,7,-1,0,0,0,0,0,
7,3,4,7,-1,0,0,0,0,0,
80,80,0,80,80,1,1,0,1,1,
8,1,3,7,-2,0,0,0,0,0,
8,1,3,7,-2,0,0,0,0,0,
80,80,0,80,80,1,1,0,1,1,
92,12,80,84,-68,1,0,1,1,-1,
92,12,80,84,-68,1,0,1,1,-1,
98,6,12,84,-6,1,0,0,1,0,
98,6,12,84,-6,1,0,0,1,0,
7,7,0,7,7,0,0,0,0,0,
7,7,0,7,7,0,0,0,0,0,
7,7,0,7,7,0,0,0,0,0,
13,6,7,8,-1,0,0,0,0,0,
13,6,7,8,-1,0,0,0,0,0,
13,6,7,8,-1,0,0,0,0,0,
14,1,6,8,-5,0,0,0,0,0,
14,1,6,8,-5,0,0,0,0,0,
14,1,6,8,-5,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
6,4,2,6,2,0,0,0,0,0,
6,4,2,6,2,0,0,0,0,0,
9,3,4,6,-1,0,0,0,0,0,
9,3,4,6,-1,0,0,0,0,0,
73,73,0,73,73,5,5,0,5,5,
73,73,0,73,73,5,5,0,5,5,
73,73,0,73,73,5,5,0,5,5,
66,66,0,66,66,2,2,0,2,2,
66,66,0,66,66,2,2,0,2,2,
75,2,73,73,-71,5,0,5,5,-5,
75,2,73,73,-71,5,0,5,5,-5,
75,2,73,73,-71,5,0,5,5,-5,
77,11,66,74,-55,2,0,2,2,-2,
77,11,66,74,-55,2,0,2,2,-2,
78,3,2,73,1,5,0,0,5,0,
78,3,2,73,1,5,0,0,5,0,
78,3,2,73,1,5,0,0,5,0,
79,2,11,74,-9,2,0,0,2,0,
79,2,11,74,-9,2,0,0,2,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
5,3,2,2,1,0,0,0,0,0,
5,3,2,2,1,0,0,0,0,0,
6,1,3,2,-2,0,0,0,0,0,
6,1,3,2,-2,0,0,0,0,0,
194,194,0,194,194,1,1,0,1,1,
194,194,0,194,194,1,1,0,1,1,
203,9,194,195,-185,1,0,1,1,-1,
8,8,0,8,8,0,0,0,0,0,
8,8,0,8,8,0,0,0,0,0,
203,9,194,195,-185,1,0,1,1,-1,
212,9,9,195,0,1,0,0,1,0,
15,7,8,11,-1,0,0,0,0,0,
15,7,8,11,-1,0,0,0,0,0,
212,9,9,195,0,1,0,0,1,0,
51,36,7,11,29,0,0,0,0,0,
51,36,7,11,29,0,0,0,0,0,
15,15,0,15,15,1,1,0,1,1,
105,105,0,105,105,1,1,0,1,1,
25,10,15,23,-5,1,0,1,1,-1,
105,105,0,105,105,1,1,0,1,1,
113,8,105,113,-97,1,0,1,1,-1,
27,2,10,23,-8,1,0,0,1,0,
113,8,105,113,-97,1,0,1,1,-1,
113,0,8,113,-8,1,0,0,1,0,
113,0,8,113,-8,1,0,0,1,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
11,9,2,9,7,0,0,0,0,0,
6,6,0,6,6,0,0,0,0,0,
6,6,0,6,6,0,0,0,0,0,
11,9,2,9,7,0,0,0,0,0,
19,8,9,9,-1,0,0,0,0,0,
13,7,6,9,1,1,1,0,0,1,
13,7,6,9,1,1,1,0,0,1,
19,8,9,9,-1,0,0,0,0,0,
10,10,0,10,10,0,0,0,0,0,
18,5,7,9,-2,1,0,1,0,-1,
18,5,7,9,-2,1,0,1,0,-1,
10,10,0,10,10,0,0,0,0,0,
10,0,10,10,-10,0,0,0,0,0,
23,23,0,23,23,1,1,0,1,1,
10,0,10,10,-10,0,0,0,0,0,
10,0,0,10,0,0,0,0,0,0,
24,1,23,23,-22,1,0,1,1,-1,
10,0,0,10,0,0,0,0,0,0,
24,0,1,23,-1,1,0,0,1,0,
18,18,0,18,18,0,0,0,0,0,
18,18,0,18,18,0,0,0,0,0,
73,55,18,67,37,0,0,0,0,0,
73,55,18,67,37,0,0,0,0,0,
87,14,55,67,-41,0,0,0,0,0,
87,14,55,67,-41,0,0,0,0,0,
38,38,0,38,38,5,5,0,5,5,
46,8,38,42,-30,5,0,5,5,-5,
14,14,0,14,14,1,1,0,1,1,
50,4,8,42,-4,5,0,0,5,0,
15,1,14,14,-13,1,0,1,1,-1,
17,2,1,14,1,1,0,0,1,0,
17,17,0,17,17,0,0,0,0,0,
21,4,17,18,-13,0,0,0,0,0,
23,2,4,18,-2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
4,2,2,2,0,0,0,0,0,0,
4,2,2,2,0,0,0,0,0,0,
4,0,2,2,-2,0,0,0,0,0,
4,0,2,2,-2,0,0,0,0,0,
16,16,0,16,16,0,0,0,0,0,
16,16,0,16,16,0,0,0,0,0,
26,10,16,17,-6,1,1,0,0,1,
26,10,16,17,-6,1,1,0,0,1,
100,100,0,100,100,8,8,0,8,8,
36,10,10,17,0,1,0,1,0,-1,
100,100,0,100,100,8,8,0,8,8,
70,70,0,70,70,1,1,0,1,1,
36,10,10,17,0,1,0,1,0,-1,
70,70,0,70,70,1,1,0,1,1,
70,70,0,70,70,1,1,0,1,1,
77,77,0,77,77,0,0,0,0,0,
119,19,100,111,-81,10,2,8,10,-6,
119,19,100,111,-81,10,2,8,10,-6,
19,19,0,19,19,2,2,0,2,2,
77,77,0,77,77,0,0,0,0,0,
85,15,70,85,-55,1,0,1,1,-1,
85,15,70,85,-55,1,0,1,1,-1,
85,15,70,85,-55,1,0,1,1,-1,
19,19,0,19,19,2,2,0,2,2,
77,77,0,77,77,0,0,0,0,0,
80,3,77,79,-74,0,0,0,0,0,
123,4,19,111,-15,10,0,2,10,-2,
123,4,19,111,-15,10,0,2,10,-2,
25,6,19,21,-13,2,0,2,2,-2,
80,3,77,79,-74,0,0,0,0,0,
88,3,15,85,-12,1,0,0,1,0,
88,3,15,85,-12,1,0,0,1,0,
88,3,15,85,-12,1,0,0,1,0,
25,6,19,21,-13,2,0,2,2,-2,
80,3,77,79,-74,0,0,0,0,0,
81,1,3,79,-2,0,0,0,0,0,
35,10,6,21,4,2,0,0,2,0,
81,1,3,79,-2,0,0,0,0,0,
35,10,6,21,4,2,0,0,2,0,
81,1,3,79,-2,0,0,0,0,0,
32,32,0,32,32,4,4,0,4,4,
37,5,32,34,-27,4,0,4,4,-4,
40,3,5,34,-2,4,0,0,4,0,
1,1,0,1,1,0,0,0,0,0,
1,1,0,1,1,0,0,0,0,0,
1,0,1,1,-1,0,0,0,0,0,
1,0,1,1,-1,0,0,0,0,0,
1,0,0,1,0,0,0,0,0,0,
1,0,0,1,0,0,0,0,0,0,
17,17,0,17,17,0,0,0,0,0,
17,17,0,17,17,0,0,0,0,0,
19,2,17,19,-15,0,0,0,0,0,
27,27,0,27,27,1,1,0,1,1,
19,2,17,19,-15,0,0,0,0,0,
27,27,0,27,27,1,1,0,1,1,
27,8,2,19,6,0,0,0,0,0,
46,19,27,34,-8,1,0,1,1,-1,
27,8,2,19,6,0,0,0,0,0,
46,19,27,34,-8,1,0,1,1,-1,
50,4,19,34,-15,1,0,0,1,0,
50,4,19,34,-15,1,0,0,1,0,
34,34,0,34,34,4,4,0,4,4,
34,34,0,34,34,4,4,0,4,4,
34,0,34,34,-34,4,0,4,4,-4,
34,0,34,34,-34,4,0,4,4,-4,
40,6,0,34,6,4,0,0,4,0,
40,6,0,34,6,4,0,0,4,0,
8,8,0,8,8,3,3,0,3,3,
8,8,0,8,8,3,3,0,3,3,
9,1,8,9,-7,3,0,3,3,-3,
9,1,8,9,-7,3,0,3,3,-3,
11,2,1,9,1,3,0,0,3,0,
11,2,1,9,1,3,0,0,3,0,
23,23,0,23,23,1,1,0,1,1,
23,23,0,23,23,1,1,0,1,1,
1,1,0,1,1,0,0,0,0,0,
1,1,0,1,1,0,0,0,0,0,
82,59,23,67,36,4,3,1,4,2,
82,59,23,67,36,4,3,1,4,2,
38,38,0,38,38,2,2,0,2,2,
1,0,1,1,-1,0,0,0,0,0,
1,0,1,1,-1,0,0,0,0,0,
38,38,0,38,38,2,2,0,2,2,
113,113,0,113,113,0,0,0,0,0,
100,18,59,67,-41,4,0,3,4,-3,
100,18,59,67,-41,4,0,3,4,-3,
42,4,38,38,-34,2,0,2,2,-2,
113,113,0,113,113,0,0,0,0,0,
1,0,0,1,0,0,0,0,0,0,
1,0,0,1,0,0,0,0,0,0,
42,4,38,38,-34,2,0,2,2,-2,
120,7,113,114,-106,0,0,0,0,0,
46,4,4,38,0,3,1,0,2,1,
120,7,113,114,-106,0,0,0,0,0,
46,4,4,38,0,3,1,0,2,1,
125,5,7,114,-2,0,0,0,0,0,
125,5,7,114,-2,0,0,0,0,0,
65,65,0,65,65,2,2,0,2,2,
65,65,0,65,65,2,2,0,2,2,
65,65,0,65,65,2,2,0,2,2,
65,65,0,65,65,2,2,0,2,2,
189,124,65,79,59,3,1,2,2,-1,
189,124,65,79,59,3,1,2,2,-1,
189,124,65,79,59,3,1,2,2,-1,
189,124,65,79,59,3,1,2,2,-1,
244,55,124,79,-69,3,0,1,2,-1,
244,55,124,79,-69,3,0,1,2,-1,
244,55,124,79,-69,3,0,1,2,-1,
244,55,124,79,-69,3,0,1,2,-1,
31,31,0,31,31,1,1,0,1,1,
31,31,0,31,31,1,1,0,1,1,
40,9,31,34,-22,1,0,1,1,-1,
40,9,31,34,-22,1,0,1,1,-1,
41,1,9,34,-8,1,0,0,1,0,
41,1,9,34,-8,1,0,0,1,0,
68,68,0,68,68,0,0,0,0,0,
68,68,0,68,68,0,0,0,0,0,
99,31,68,68,-37,1,1,0,0,1,
99,31,68,68,-37,1,1,0,0,1,
106,7,31,68,-24,1,0,1,0,-1,
106,7,31,68,-24,1,0,1,0,-1,
1,1,0,1,1,0,0,0,0,0,
1,1,0,1,1,0,0,0,0,0,
3,2,1,1,1,0,0,0,0,0,
3,2,1,1,1,0,0,0,0,0,
3,0,2,1,-2,0,0,0,0,0,
3,0,2,1,-2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
6,4,2,2,2,0,0,0,0,0,
6,4,2,2,2,0,0,0,0,0,
6,4,2,2,2,0,0,0,0,0,
15,9,4,2,5,0,0,0,0,0,
15,9,4,2,5,0,0,0,0,0,
15,9,4,2,5,0,0,0,0,0,
4,4,0,4,4,1,1,0,1,1,
4,4,0,4,4,1,1,0,1,1,
4,0,4,4,-4,1,0,1,1,-1,
4,0,4,4,-4,1,0,1,1,-1,
3,3,0,3,3,0,0,0,0,0,
3,3,0,3,3,0,0,0,0,0,
4,0,0,4,0,1,0,0,1,0,
3,3,0,3,3,0,0,0,0,0,
4,0,0,4,0,1,0,0,1,0,
11,8,3,6,5,0,0,0,0,0,
11,8,3,6,5,0,0,0,0,0,
11,8,3,6,5,0,0,0,0,0,
11,0,8,6,-8,0,0,0,0,0,
11,0,8,6,-8,0,0,0,0,0,
11,0,8,6,-8,0,0,0,0,0,
10,10,0,10,10,0,0,0,0,0,
19,9,10,13,-1,0,0,0,0,0,
50,31,9,13,22,0,0,0,0,0,
53,53,0,53,53,1,1,0,1,1,
53,53,0,53,53,1,1,0,1,1,
53,53,0,53,53,1,1,0,1,1,
66,13,53,57,-40,1,0,1,1,-1,
66,13,53,57,-40,1,0,1,1,-1,
66,13,53,57,-40,1,0,1,1,-1,
78,12,13,57,-1,1,0,0,1,0,
78,12,13,57,-1,1,0,0,1,0,
78,12,13,57,-1,1,0,0,1,0,
145,145,0,145,145,6,6,0,6,6,
145,145,0,145,145,6,6,0,6,6,
132,132,0,132,132,3,3,0,3,3,
148,3,145,147,-142,6,0,6,6,-6,
148,3,145,147,-142,6,0,6,6,-6,
132,132,0,132,132,3,3,0,3,3,
132,132,0,132,132,3,3,0,3,3,
171,39,132,136,-93,3,0,3,3,-3,
151,3,3,147,0,6,0,0,6,0,
151,3,3,147,0,6,0,0,6,0,
171,39,132,136,-93,3,0,3,3,-3,
171,39,132,136,-93,3,0,3,3,-3,
211,40,39,136,1,3,0,0,3,0,
211,40,39,136,1,3,0,0,3,0,
211,40,39,136,1,3,0,0,3,0,
24,24,0,24,24,1,1,0,1,1,
42,18,24,40,-6,1,0,1,1,-1,
47,5,18,40,-13,1,0,0,1,0,
12,12,0,12,12,0,0,0,0,0,
12,0,12,12,-12,0,0,0,0,0,
17,5,0,12,5,0,0,0,0,0,
6,6,0,6,6,1,1,0,1,1,
14,8,6,7,2,1,0,1,1,-1,
29,15,8,7,7,1,0,0,1,0,
12,12,0,12,12,0,0,0,0,0,
12,12,0,12,12,0,0,0,0,0,
13,1,12,13,-11,0,0,0,0,0,
13,1,12,13,-11,0,0,0,0,0,
14,1,1,13,0,0,0,0,0,0,
14,1,1,13,0,0,0,0,0,0,
7,7,0,7,7,0,0,0,0,0,
7,7,0,7,7,0,0,0,0,0,
7,7,0,7,7,0,0,0,0,0,
17,10,7,15,3,0,0,0,0,0,
17,10,7,15,3,0,0,0,0,0,
17,10,7,15,3,0,0,0,0,0,
23,6,10,15,-4,0,0,0,0,0,
23,6,10,15,-4,0,0,0,0,0,
23,6,10,15,-4,0,0,0,0,0,
65,65,0,65,65,3,3,0,3,3,
65,65,0,65,65,3,3,0,3,3,
87,22,65,76,-43,4,1,3,3,-2,
87,22,65,76,-43,4,1,3,3,-2,
88,1,22,76,-21,4,0,1,3,-1,
88,1,22,76,-21,4,0,1,3,-1,
2,2,0,2,2,0,0,0,0,0,
2,2,0,2,2,0,0,0,0,0,
168,168,0,168,168,1,1,0,1,1,
3,1,2,3,-1,0,0,0,0,0,
3,1,2,3,-1,0,0,0,0,0,
168,168,0,168,168,1,1,0,1,1,
168,168,0,168,168,1,1,0,1,1,
168,168,0,168,168,1,1,0,1,1,
174,6,168,168,-162,1,0,1,1,-1,
3,0,1,3,-1,0,0,0,0,0,
3,0,1,3,-1,0,0,0,0,0,
174,6,168,168,-162,1,0,1,1,-1,
174,6,168,168,-162,1,0,1,1,-1,
174,6,168,168,-162,1,0,1,1,-1,
176,2,6,168,-4,1,0,0,1,0,
176,2,6,168,-4,1,0,0,1,0,
176,2,6,168,-4,1,0,0,1,0,
176,2,6,168,-4,1,0,0,1,0,
4,4,0,4,4,0,0,0,0,0,
4,4,0,4,4,0,0,0,0,0,
12,12,0,12,12,0,0,0,0,0,
4,0,4,4,-4,0,0,0,0,0,
12,12,0,12,12,0,0,0,0,0,
4,0,4,4,-4,0,0,0,0,0,
26,14,12,15,2,0,0,0,0,0,
5,1,0,4,1,0,0,0,0,0,
26,14,12,15,2,0,0,0,0,0,
5,1,0,4,1,0,0,0,0,0,
31,5,14,15,-9,0,0,0,0,0,
31,5,14,15,-9,0,0,0,0,0,
77,77,0,77,77,3,3,0,3,3,
77,77,0,77,77,3,3,0,3,3,
7,7,0,7,7,0,0,0,0,0,
95,18,77,80,-59,3,0,3,3,-3,
184,184,0,184,184,2,2,0,2,2,
184,184,0,184,184,2,2,0,2,2,
184,184,0,184,184,2,2,0,2,2,
95,18,77,80,-59,3,0,3,3,-3,
7,7,0,7,7,0,0,0,0,0,
13,6,7,10,-1,0,0,0,0,0,
102,7,18,80,-11,3,0,0,3,0,
